distance,status,duration,fuel_consumed,percentage,remainingFuel,datetime
46,3,312590,46.0,94,816.0,2025-03-13 17:01:13.750523+00:00
0,3,316231,0.0,100,863.0,2025-03-13 18:01:55.290512+00:00
47,3,319867,23.0,94,815.0,2025-03-13 19:02:30.621633+00:00
23,3,323507,0.0,97,839.0,2025-03-13 20:03:13.376085+00:00
0,3,327146,0.0,100,863.0,2025-03-13 21:03:50.363390+00:00
70,3,330785,23.0,91,792.0,2025-03-13 22:04:31.920524+00:00
0,3,334424,0.0,100,863.0,2025-03-13 23:05:07.784472+00:00
0,3,338061,0.0,100,863.0,2025-03-14 00:05:44.542187+00:00
23,3,341695,23.0,97,839.0,2025-03-14 01:06:21.425313+00:00
0,3,345334,0.0,100,863.0,2025-03-14 02:06:57.969205+00:00
0,3,348983,0.0,100,863.0,2025-03-14 03:07:47.263800+00:00
22,3,351710,0.0,97,840.0,2025-03-14 03:53:14.807808+00:00
0,3,356292,0.0,100,863.0,2025-03-14 05:09:37.624278+00:00
0,3,359020,0.0,100,863.0,2025-03-14 05:55:04.487814+00:00
22,3,361751,0.0,97,840.0,2025-03-14 06:40:35.774672+00:00
0,3,364483,0.0,100,863.0,2025-03-14 07:26:10.441937+00:00
45,3,367218,45.0,94,817.0,2025-03-14 08:11:42.734716+00:00
69,3,369947,69.0,91,793.0,2025-03-14 08:57:10.905139+00:00
0,3,372677,0.0,100,863.0,2025-03-14 09:42:42.010414+00:00
23,3,375404,0.0,97,839.0,2025-03-14 10:28:08.756289+00:00
69,3,378133,23.0,91,793.0,2025-03-14 11:13:37.133597+00:00
23,3,380864,23.0,97,839.0,2025-03-14 11:59:09.550973+00:00
0,3,383595,0.0,100,863.0,2025-03-14 12:44:40.174162+00:00
23,3,390947,0.0,97,839.0,2025-03-14 14:47:11.727488+00:00
23,3,393675,23.0,97,839.0,2025-03-14 15:32:39.970944+00:00
0,3,396407,0.0,100,863.0,2025-03-14 16:18:11.678884+00:00
23,3,399136,0.0,97,839.0,2025-03-14 17:03:42.287002+00:00
23,3,401866,0.0,97,839.0,2025-03-14 17:49:11.349046+00:00
23,3,404595,0.0,97,839.0,2025-03-14 18:34:38.953168+00:00
0,3,407322,0.0,100,863.0,2025-03-14 19:20:06.932419+00:00
23,3,410050,0.0,97,839.0,2025-03-14 20:05:34.471816+00:00
0,3,412779,0.0,100,863.0,2025-03-14 20:51:03.055588+00:00
0,3,415509,0.0,100,863.0,2025-03-14 21:36:33.700673+00:00
46,3,418237,46.0,94,816.0,2025-03-14 22:22:03.999393+00:00
0,3,420967,0.0,100,863.0,2025-03-14 23:07:33.659801+00:00
0,3,423696,0.0,100,863.0,2025-03-14 23:53:00.742358+00:00
218,3,426423,195.0,74,644.0,2025-03-15 00:38:28.191471+00:00
514,2,1,0.0,40,348.0,2025-03-15 00:46:46.980086+00:00
45,3,37,0.0,94,817.0,2025-03-15 00:47:34.067701+00:00
232,3,91,0.0,73,630.0,2025-03-15 00:48:28.230931+00:00
232,3,145,0.0,73,630.0,2025-03-15 00:49:21.934629+00:00
232,3,199,0.0,73,630.0,2025-03-15 00:50:16.440918+00:00
38,3,253,0.0,95,824.0,2025-03-15 00:51:09.512338+00:00
292,3,309,28.0,66,570.0,2025-03-15 00:52:06.520732+00:00
292,3,345,0.0,66,570.0,2025-03-15 00:52:42.019114+00:00
10,3,381,0.0,98,852.0,2025-03-15 00:53:17.926160+00:00
232,3,417,0.0,73,630.0,2025-03-15 00:53:54.960572+00:00
232,3,455,0.0,73,630.0,2025-03-15 00:54:31.488258+00:00
232,3,491,0.0,73,630.0,2025-03-15 00:55:08.905314+00:00
232,3,527,0.0,73,630.0,2025-03-15 00:55:44.816506+00:00
